2026-03-28 17:45:18,658 | INFO | app | Loading existing vector store from data\gold\KPN-news-articles
2026-03-28 17:46:34,436 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:46:34,862 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:46:34,862 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:46:35,283 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:50:40,714 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:50:41,186 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:50:41,188 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:50:41,705 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:51:59,681 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:52:00,285 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:52:00,285 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:52:00,689 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:52:03,515 | INFO | src.utils.pdf_parser | Checking SILVER for: KPN-integrated-annual-report-2024_2025.jsonl
2026-03-28 17:52:03,515 | INFO | src.utils.pdf_parser | JSONL found in SILVER. Loading documents
2026-03-28 17:52:03,532 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:52:03,949 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:52:03,949 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:52:04,366 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:52:04,366 | INFO | app | Loading existing vector store from data\gold\KPN-integrated-annual-report-2024_2025
2026-03-28 17:52:04,366 | INFO | src.utils.web_scraper | Loading URLs from c:\Akash\Career\tests\kpn\data\bronze\urls.txt
2026-03-28 17:52:04,377 | INFO | src.utils.web_scraper | Loaded 5 URLs
2026-03-28 17:52:04,377 | INFO | src.utils.web_scraper | [0] Processing URL: https://www.overons.kpn/nieuws/en/kpn-cla-2026-2027-new-arrangement-for-reservists/
2026-03-28 17:52:04,883 | INFO | src.utils.web_scraper | [1] Processing URL: https://www.overons.kpn/nieuws/en/kpn-best-mobile-network-in-the-netherlands-for-the-fifth-time-with-the-highest-score-worldwide/
2026-03-28 17:52:05,316 | INFO | src.utils.web_scraper | [2] Processing URL: https://www.overons.kpn/nieuws/en/kpn-launches-queryable-infrastructure-kpn-campus/
2026-03-28 17:52:05,772 | INFO | src.utils.web_scraper | [3] Processing URL: https://www.overons.kpn/nieuws/en/kpn-recognized-as-provider-with-the-best-digital-customer-experience/
2026-03-28 17:52:06,249 | INFO | src.utils.web_scraper | [4] Processing URL: https://www.overons.kpn/nieuws/en/king-and-minister-of-economic-affairs-on-a-working-visit-to-kpn-a-look-behind-the-scenes-of-digital-resilience/
2026-03-28 17:52:06,766 | INFO | src.utils.web_scraper | Successfully created 5 documents
2026-03-28 17:52:06,766 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 17:52:07,168 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 17:52:07,168 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 17:52:07,583 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 17:52:07,584 | INFO | app | Loading existing vector store from data\gold\KPN-news-articles
2026-03-28 18:04:55,107 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 18:04:55,823 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
2026-03-28 18:04:55,826 | INFO | src.models.llm | Initializing AzureOpenAI Embeddings...
2026-03-28 18:04:56,228 | INFO | src.models.llm | AzureOpenAI Embeddings initialized successfully.
2026-03-28 18:04:59,483 | INFO | src.utils.pdf_parser | Checking SILVER for: KPN-integrated-annual-report-2024_2025.jsonl
2026-03-28 18:04:59,483 | INFO | src.utils.pdf_parser | JSONL found in SILVER. Loading documents
2026-03-28 18:04:59,483 | INFO | src.models.llm | Initializing AzureOpenAI client.
2026-03-28 18:04:59,948 | INFO | src.models.llm | AzureOpenAI client initialized successfully.
